hoy,value
1097,1.2
1098,2.6
1099,2.5
1100,2.4
1101,2.5
1102,2.4
1103,2.5
1104,2.5
1105,2.5
1106,2.4
1107,2.5
1108,2.5
1109,2.5
1110,2.4
1111,2.5
1112,2.4
1113,1.8
1114,0.4
1115,0.5
1116,0.5
1117,0.5
1118,0.6
1119,0.6
1120,0.6
1121,0.6
1122,2.8
1123,2.5
1124,2.4
1125,2.5
1126,2.5
1127,2.4
1128,2.4
1129,2.5
1130,2.5
1131,2.4
1132,2.5
1133,2.4
1134,2.5
1135,2.5
1136,2.4
1137,2.3
1138,0.5
1139,0.6
1140,0.5
1141,0.4
1142,0.5
1143,0.5
1144,0.5
1145,2
1146,2.5
1147,2.4
1148,2.5
1149,2.4
1150,2.4
1151,2.5
1152,2.5
1153,2.4
1154,2.5
1155,2.4
1156,2.5
1157,2.5
1158,2.4
1159,2.5
1160,1.9
1161,0.4
1162,0.5
1163,0.5
1164,0.4
1165,0.5
1166,0.5
1167,0.5
1168,0.6
1169,0.5
1170,2
1171,2.4
1172,2.5
1173,2.4
1174,2.5
1175,2.4
1176,2.5
1177,2.4
1178,2.5
1179,2.4
1180,2.5
1181,2.5
1182,2.4
1183,2.5
1184,1.7
1185,0.4
1186,0.5
1187,0.4
1188,0.5
1189,0.6
1190,0.5
1191,0.5
1192,0.5
1193,0.5
1194,2.3
1195,2.5
1196,2.4
1197,2.4
1198,2.5
1199,2.5
1200,2.5
1201,2.4
1202,2.5
1203,2.4
1204,2.5
1205,2.4
1206,2.5
1207,2.4
1208,2.5
1209,2.4
1210,0.5
1211,0.5
1212,0.5
1213,0.6
1214,0.7
1215,0.7
1216,0.8
1217,0.7
1218,2.3
1219,2.5
1220,2.7
1221,2.7
1222,2.7
1223,2.7
1224,2.7
1225,2.4
1226,2.5
1227,2.4
1228,2.5
1229,2.5
1230,2.4
1231,2.5
1232,1.6
1233,0.4
1234,0.5
1235,0.5
1236,0.7
1237,0.5
1238,1.8
1239,2.1
1240,1.1
1241,0.8
1242,2
1243,2.8
1244,2.7
1245,2.7
1246,2.7
1247,2.5
1248,2.6
1249,2.5
1250,2.5
1251,2.5
1252,2.6
1253,2.5
1254,2.5
1255,2.4
1256,1.8
1257,0.5
1258,0.5
1259,0.5
1260,0.6
1261,0.5
